,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Satisfactory,94,O<s>3</s>,1,2017-11-03,,
,Poor,288,PM<s>2.5</s>,<s>#</s>1,2017-11-03,,
,Moderate,109,PM<s>10</s>,1,2017-11-03,,
,Moderate,108,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>4,2017-11-03,,
,Severe,401,PM<s>2.5</s>,1,2017-11-03,,
,Moderate,138,PM<s>2.5</s>,1,2017-11-03,,
,Satisfactory,56,"CO, PM<s>2.5</s>",3,2017-11-03,,
,Very Poor,324,PM<s>2.5</s>,14,2017-11-03,,
,Satisfactory,89,PM<s>10</s>,1,2017-11-03,,
,Very Poor,344,PM<s>2.5</s>,<s>#</s>1,2017-11-03,,
,Very Poor,383,PM<s>2.5</s>,<s>#</s>1,2017-11-03,,
,Very Poor,338,PM<s>2.5</s>,1,2017-11-03,,
,Satisfactory,86,PM<s>10</s>,<s>#</s>1,2017-11-03,,
,Moderate,141,"PM<s>2.5</s>, PM<s>10</s>",6,2017-11-03,,
,Moderate,143,"NO<s>2</s>, PM<s>10</s>",2,2017-11-03,,
,Very Poor,319,PM<s>2.5</s>,1,2017-11-03,,
,Very Poor,317,PM<s>2.5</s>,<s>#</s>1,2017-11-03,,
,Moderate,135,PM<s>10</s>,1,2017-11-03,,
,Very Poor,349,PM<s>2.5</s>,3,2017-11-03,,
,Very Poor,320,PM<s>2.5</s>,<s>#</s>1,2017-11-03,,
,Poor,271,PM<s>2.5</s>,1,2017-11-03,,
,Very Poor,381,PM<s>2.5</s>,1,2017-11-03,,
,Poor,218,PM<s>2.5</s>,1,2017-11-03,,
,Moderate,136,PM<s>2.5</s>,<s>#</s>1,2017-11-03,,
,Moderate,163,O<s>3</s>,1,2017-11-03,,
,Satisfactory,85,PM<s>10</s>,1,2017-11-03,,
,Very Poor,349,PM<s>2.5</s>,2,2017-11-03,,
,Poor,217,PM<s>2.5</s>,<s>#</s>1,2017-11-03,,
,Poor,275,PM<s>2.5</s>,<s>#</s>1,2017-11-03,,
,Poor,230,PM<s>2.5</s>,1,2017-11-03,,
,Satisfactory,92,PM<s>10</s>,1,2017-11-03,,
,Moderate,103,O<s>3</s>,1,2017-11-03,,
,Poor,298,PM<s>2.5</s>,1,2017-11-03,,
,Moderate,132,PM<s>10</s>,1,2017-11-03,,
,Satisfactory,57,CO,1,2017-11-03,,
,Moderate,106,NO<s>2</s>,<s>#</s>1,2017-11-03,,
,Moderate,103,PM<s>10</s>,<s>#</s>1,2017-11-03,,
,Satisfactory,77,"PM<s>10</s>, PM<s>2.5</s>",2,2017-11-03,,
,Very Poor,357,PM<s>2.5</s>,1,2017-11-04,,
,Moderate,139,PM<s>10</s>,<s>#</s>1,2017-11-04,,
,Poor,221,PM<s>10</s>,1,2017-11-04,,
,Poor,274,PM<s>2.5</s>,<s>#</s>1,2017-11-04,,
,Moderate,111,O<s>3</s>,1,2017-11-04,,
,Satisfactory,100,"PM<s>2.5</s>, O<s>3</s>",4,2017-11-04,,
,Very Poor,369,PM<s>2.5</s>,1,2017-11-04,,
,Satisfactory,99,PM<s>10</s>,1,2017-11-04,,
,Satisfactory,52,"CO, PM<s>2.5</s>",3,2017-11-04,,
,Very Poor,351,PM<s>2.5</s>,16,2017-11-04,,
,Moderate,105,PM<s>10</s>,1,2017-11-04,,
,Very Poor,323,PM<s>2.5</s>,1,2017-11-04,,
,Very Poor,396,PM<s>2.5</s>,<s>#</s>1,2017-11-04,,
,Very Poor,338,PM<s>2.5</s>,1,2017-11-04,,
,Satisfactory,89,PM<s>10</s>,<s>#</s>1,2017-11-04,,
,Severe,451,O<s>3</s>,<s>#</s>1,2017-11-04,,
,Moderate,103,"PM<s>2.5</s>, PM<s>10</s>",6,2017-11-04,,
,Poor,214,"PM<s>10</s>, PM<s>2.5</s>",2,2017-11-04,,
,Poor,297,PM<s>2.5</s>,1,2017-11-04,,
,Very Poor,371,PM<s>2.5</s>,1,2017-11-04,,
,Poor,218,PM<s>2.5</s>,1,2017-11-04,,
,Very Poor,359,PM<s>2.5</s>,3,2017-11-04,,
,Very Poor,321,PM<s>2.5</s>,1,2017-11-04,,
,Poor,286,PM<s>2.5</s>,1,2017-11-04,,
,Very Poor,384,PM<s>2.5</s>,1,2017-11-04,,
,Moderate,122,PM<s>10</s>,1,2017-11-04,,
,Poor,231,PM<s>2.5</s>,<s>#</s>1,2017-11-04,,
,Moderate,144,PM<s>2.5</s>,<s>#</s>1,2017-11-04,,
,Moderate,167,O<s>3</s>,1,2017-11-04,,
,Satisfactory,88,PM<s>10</s>,1,2017-11-04,,
,Very Poor,365,PM<s>2.5</s>,2,2017-11-04,,
,Poor,230,PM<s>2.5</s>,<s>#</s>1,2017-11-04,,
,Poor,282,PM<s>2.5</s>,1,2017-11-04,,
,Moderate,101,PM<s>10</s>,1,2017-11-04,,
,Satisfactory,94,O<s>3</s>,1,2017-11-04,,
,Poor,300,PM<s>2.5</s>,1,2017-11-04,,
,Moderate,112,PM<s>10</s>,<s>#</s>1,2017-11-04,,
,Moderate,113,CO,1,2017-11-04,,
,Satisfactory,70,CO,1,2017-11-04,,
,Satisfactory,65,PM<s>10</s>,1,2017-11-04,,
,Moderate,179,PM<s>2.5</s>,1,2017-11-04,,
,Poor,223,PM<s>2.5</s>,1,2017-11-04,,
,Satisfactory,82,PM<s>10</s>,1,2017-11-04,,
,Satisfactory,72,PM<s>10</s>,1,2017-11-04,,
,Very Poor,355,PM<s>2.5</s>,1,2017-11-05,,
,Moderate,116,O<s>3</s>,1,2017-11-05,,
,Satisfactory,87,O<s>3</s>,<s>#</s>1,2017-11-05,,
,Poor,289,PM<s>2.5</s>,<s>#</s>1,2017-11-05,,
,Satisfactory,93,O<s>3</s>,1,2017-11-05,,
,Satisfactory,53,"PM<s>2.5</s>, NO<s>2</s>",4,2017-11-05,,
,Severe,407,PM<s>2.5</s>,<s>#</s>1,2017-11-05,,
,Good,22,NO<s>2</s>,<s>#</s>1,2017-11-05,,
,Satisfactory,58,"CO, PM<s>2.5</s>",3,2017-11-05,,
,Very Poor,368,"PM<s>2.5</s>, PM<s>10</s>",10,2017-11-05,,
,Satisfactory,81,PM<s>10</s>,<s>#</s>1,2017-11-05,,
,Very Poor,334,PM<s>2.5</s>,1,2017-11-05,,
,Severe,439,PM<s>2.5</s>,1,2017-11-05,,
,Very Poor,345,PM<s>2.5</s>,1,2017-11-05,,
,Moderate,129,PM<s>10</s>,1,2017-11-05,,
,Satisfactory,74,"O<s>3</s>, PM<s>10</s>",6,2017-11-05,,
,Poor,241,"PM<s>2.5</s>, PM<s>10</s>",<s>#</s>3,2017-11-05,,
,Poor,277,PM<s>2.5</s>,<s>#</s>1,2017-11-05,,
,Very Poor,306,PM<s>2.5</s>,1,2017-11-05,,
,Poor,263,PM<s>2.5</s>,1,2017-11-05,,
,Very Poor,348,PM<s>2.5</s>,3,2017-11-05,,
,Poor,297,PM<s>2.5</s>,1,2017-11-05,,
,Very Poor,352,PM<s>2.5</s>,1,2017-11-05,,
,Moderate,119,PM<s>10</s>,1,2017-11-05,,
,Moderate,119,PM<s>2.5</s>,<s>#</s>1,2017-11-05,,
,Moderate,152,O<s>3</s>,1,2017-11-05,,
,Satisfactory,88,CO,1,2017-11-05,,
,Severe,423,PM<s>2.5</s>,1,2017-11-05,,
,Poor,209,PM<s>2.5</s>,<s>#</s>1,2017-11-05,,
,Poor,202,PM<s>2.5</s>,<s>#</s>1,2017-11-05,,
,Poor,247,PM<s>2.5</s>,1,2017-11-05,,
,Satisfactory,91,PM<s>10</s>,1,2017-11-05,,
,Moderate,103,O<s>3</s>,1,2017-11-05,,
,Poor,298,PM<s>2.5</s>,1,2017-11-05,,
,Satisfactory,92,PM<s>10</s>,1,2017-11-05,,
,Moderate,126,PM<s>10</s>,1,2017-11-05,,
,Satisfactory,60,CO,1,2017-11-05,,
,Satisfactory,83,NO<s>2</s>,1,2017-11-05,,
,Poor,242,PM<s>2.5</s>,1,2017-11-05,,
,Satisfactory,67,PM<s>2.5</s>,1,2017-11-05,,
,Satisfactory,66,O<s>3</s>,1,2017-11-05,,
,Very Poor,337,PM<s>2.5</s>,<s>#</s>1,2017-11-06,,
,Moderate,161,O<s>3</s>,1,2017-11-06,,
,Satisfactory,91,O<s>3</s>,1,2017-11-06,,
,Very Poor,319,PM<s>2.5</s>,<s>#</s>1,2017-11-06,,
,Satisfactory,99,O<s>3</s>,1,2017-11-06,,
,Satisfactory,63,"PM<s>2.5</s>, CO",3,2017-11-06,,
,Good,22,NO<s>2</s>,1,2017-11-06,,
,Satisfactory,60,"CO, PM<s>2.5</s>",3,2017-11-06,,
,Very Poor,354,"PM<s>2.5</s>, PM<s>10</s>",16,2017-11-06,,
,Poor,276,PM<s>2.5</s>,1,2017-11-06,,
,Severe,441,PM<s>2.5</s>,1,2017-11-06,,
,Very Poor,331,PM<s>2.5</s>,1,2017-11-06,,
,Moderate,118,PM<s>10</s>,<s>#</s>1,2017-11-06,,
,Satisfactory,67,"O<s>3</s>, PM<s>10</s>",6,2017-11-06,,
,Poor,274,"PM<s>2.5</s>, O<s>3</s>",3,2017-11-06,,
,Poor,204,PM<s>2.5</s>,1,2017-11-06,,
,Very Poor,305,PM<s>2.5</s>,1,2017-11-06,,
,Moderate,134,PM<s>2.5</s>,1,2017-11-06,,
,Very Poor,336,PM<s>2.5</s>,3,2017-11-06,,
,Very Poor,351,PM<s>2.5</s>,1,2017-11-06,,
,Very Poor,349,PM<s>2.5</s>,<s>#</s>1,2017-11-06,,
,Very Poor,383,PM<s>2.5</s>,1,2017-11-06,,
,Satisfactory,95,PM<s>10</s>,1,2017-11-06,,
,Satisfactory,94,PM<s>2.5</s>,<s>#</s>1,2017-11-06,,
,Moderate,110,PM<s>2.5</s>,1,2017-11-06,,
,Satisfactory,89,CO,1,2017-11-06,,
,Severe,407,PM<s>2.5</s>,1,2017-11-06,,
,Moderate,188,PM<s>2.5</s>,1,2017-11-06,,
,Poor,269,PM<s>2.5</s>,1,2017-11-06,,
,Poor,249,PM<s>2.5</s>,1,2017-11-06,,
,Satisfactory,97,CO,1,2017-11-06,,
,Moderate,117,O<s>3</s>,1,2017-11-06,,
,Poor,263,PM<s>2.5</s>,1,2017-11-06,,
,Satisfactory,90,PM<s>10</s>,1,2017-11-06,,
,Moderate,130,PM<s>10</s>,1,2017-11-06,,
,Satisfactory,68,CO,1,2017-11-06,,
,Satisfactory,84,NO<s>2</s>,1,2017-11-06,,
,Poor,242,PM<s>2.5</s>,1,2017-11-06,,
,Poor,246,PM<s>10</s>,1,2017-11-06,,
,Satisfactory,66,PM<s>10</s>,<s>#</s>1,2017-11-06,,
,Satisfactory,52,O<s>3</s>,1,2017-11-06,,
,Very Poor,355,PM<s>2.5</s>,<s>#</s>1,2017-11-07,,
,Moderate,137,PM<s>10</s>,1,2017-11-07,,
,Moderate,191,PM<s>10</s>,<s>#</s>1,2017-11-07,,
,Poor,215,PM<s>2.5</s>,<s>#</s>1,2017-11-07,,
,Moderate,119,PM<s>10</s>,1,2017-11-07,,
,Satisfactory,62,"CO, PM<s>2.5</s>",4,2017-11-07,,
,Severe,439,PM<s>2.5</s>,1,2017-11-07,,
,Moderate,115,PM<s>10</s>,1,2017-11-07,,
,Satisfactory,58,"CO, PM<s>2.5</s>",3,2017-11-07,,
,Severe,448,"PM<s>2.5</s>, PM<s>10</s>",15,2017-11-07,,
,Moderate,102,PM<s>10</s>,1,2017-11-07,,
,Severe,409,PM<s>2.5</s>,1,2017-11-07,,
,Severe,475,PM<s>2.5</s>,<s>#</s>1,2017-11-07,,
,Very Poor,368,PM<s>2.5</s>,1,2017-11-07,,
,Satisfactory,87,PM<s>10</s>,1,2017-11-07,,
,Severe,451,O<s>3</s>,<s>#</s>1,2017-11-07,,
,Satisfactory,83,"O<s>3</s>, PM<s>10</s>",6,2017-11-07,,
,Poor,279,"PM<s>2.5</s>, O<s>3</s>",3,2017-11-07,,
,Very Poor,303,PM<s>2.5</s>,1,2017-11-07,,
,Very Poor,361,PM<s>2.5</s>,<s>#</s>1,2017-11-07,,
,Poor,203,PM<s>2.5</s>,1,2017-11-07,,
,Very Poor,365,PM<s>2.5</s>,3,2017-11-07,,
,Very Poor,313,PM<s>10</s>,1,2017-11-07,,
,Very Poor,328,PM<s>2.5</s>,<s>#</s>1,2017-11-07,,
,Severe,500,PM<s>2.5</s>,1,2017-11-07,,
,Moderate,107,PM<s>10</s>,1,2017-11-07,,
,Poor,297,PM<s>2.5</s>,1,2017-11-07,,
,Moderate,125,PM<s>2.5</s>,<s>#</s>1,2017-11-07,,
,Moderate,154,O<s>3</s>,1,2017-11-07,,
,Satisfactory,90,CO,1,2017-11-07,,
,Severe,468,PM<s>2.5</s>,1,2017-11-07,,
,Moderate,144,PM<s>2.5</s>,1,2017-11-07,,
,Poor,249,PM<s>2.5</s>,<s>#</s>1,2017-11-07,,
,Poor,264,PM<s>2.5</s>,<s>#</s>1,2017-11-07,,
,Satisfactory,93,CO,1,2017-11-07,,
,Moderate,160,O<s>3</s>,1,2017-11-07,,
,Very Poor,312,PM<s>2.5</s>,<s>#</s>1,2017-11-07,,
,Moderate,104,PM<s>10</s>,<s>#</s>1,2017-11-07,,
,Satisfactory,60,CO,1,2017-11-07,,
,Satisfactory,77,NO<s>2</s>,1,2017-11-07,,
,Moderate,188,PM<s>2.5</s>,1,2017-11-07,,
,Poor,291,PM<s>2.5</s>,1,2017-11-07,,
,Satisfactory,76,PM<s>10</s>,1,2017-11-07,,
,Satisfactory,55,"O<s>3</s>, PM<s>10</s>",2,2017-11-07,,
,Very Poor,394,PM<s>2.5</s>,1,2017-11-08,,
,Moderate,136,PM<s>10</s>,1,2017-11-08,,
,Poor,293,PM<s>2.5</s>,1,2017-11-08,,
,Poor,222,PM<s>2.5</s>,<s>#</s>1,2017-11-08,,
,Moderate,117,PM<s>10</s>,1,2017-11-08,,
,Good,46,"PM<s>2.5</s>, CO",3,2017-11-08,,
,Severe,467,PM<s>2.5</s>,1,2017-11-08,,
,Moderate,124,PM<s>10</s>,1,2017-11-08,,
,Satisfactory,70,PM<s>2.5</s>,3,2017-11-08,,
,Severe,478,"PM<s>2.5</s>, PM<s>10</s>",16,2017-11-08,,
,Moderate,134,PM<s>10</s>,1,2017-11-08,,
,Severe,472,PM<s>2.5</s>,1,2017-11-08,,
,Very Poor,372,O<s>3</s>,<s>#</s>1,2017-11-08,,
,Severe,459,PM<s>2.5</s>,1,2017-11-08,,
,Moderate,102,PM<s>10</s>,1,2017-11-08,,
,Satisfactory,99,"O<s>3</s>, PM<s>10</s>",6,2017-11-08,,
,Poor,238,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>3,2017-11-08,,
,Very Poor,322,PM<s>2.5</s>,1,2017-11-08,,
,Poor,207,PM<s>2.5</s>,1,2017-11-08,,
,Severe,430,PM<s>2.5</s>,3,2017-11-08,,
,Poor,249,PM<s>2.5</s>,1,2017-11-08,,
,Severe,439,PM<s>2.5</s>,1,2017-11-08,,
,Moderate,106,PM<s>10</s>,<s>#</s>1,2017-11-08,,
,Very Poor,364,PM<s>2.5</s>,1,2017-11-08,,
,Moderate,119,PM<s>2.5</s>,<s>#</s>1,2017-11-08,,
,Moderate,169,O<s>3</s>,1,2017-11-08,,
,Satisfactory,93,PM<s>10</s>,1,2017-11-08,,
,Severe,469,PM<s>2.5</s>,<s>#</s>1,2017-11-08,,
,Moderate,132,PM<s>2.5</s>,1,2017-11-08,,
,Satisfactory,92,CO,1,2017-11-08,,
,Satisfactory,99,O<s>3</s>,1,2017-11-08,,
,Severe,411,PM<s>2.5</s>,<s>#</s>1,2017-11-08,,
,Satisfactory,94,PM<s>10</s>,1,2017-11-08,,
,Moderate,133,PM<s>10</s>,1,2017-11-08,,
,Satisfactory,69,CO,<s>#</s>1,2017-11-08,,
,Satisfactory,85,NO<s>2</s>,1,2017-11-08,,
,Moderate,180,PM<s>2.5</s>,1,2017-11-08,,
,Very Poor,318,PM<s>2.5</s>,1,2017-11-08,,
,Satisfactory,84,PM<s>10</s>,1,2017-11-08,,
,Satisfactory,59,"O<s>3</s>, CO",<s>#</s>2,2017-11-08,,
,Severe,449,PM<s>2.5</s>,1,2017-11-09,,
,Moderate,188,PM<s>2.5</s>,1,2017-11-09,,
,Moderate,117,PM<s>10</s>,<s>#</s>1,2017-11-09,,
,Poor,229,PM<s>2.5</s>,<s>#</s>1,2017-11-09,,
,Moderate,111,O<s>3</s>,1,2017-11-09,,
,Satisfactory,72,"PM<s>2.5</s>, O<s>3</s>",4,2017-11-09,,
,Severe,468,PM<s>2.5</s>,1,2017-11-09,,
,Moderate,132,PM<s>10</s>,1,2017-11-09,,
,Satisfactory,68,PM<s>2.5</s>,3,2017-11-09,,
,Severe,486,"PM<s>2.5</s>, PM<s>10</s>",15,2017-11-09,,
,Moderate,148,PM<s>10</s>,1,2017-11-09,,
,Severe,482,PM<s>2.5</s>,1,2017-11-09,,
,Very Poor,336,PM<s>2.5</s>,1,2017-11-09,,
,Severe,499,PM<s>2.5</s>,1,2017-11-09,,
,Severe,494,PM<s>2.5</s>,1,2017-11-09,,
,Moderate,111,PM<s>10</s>,1,2017-11-09,,
,Satisfactory,83,"PM<s>2.5</s>, O<s>3</s>",6,2017-11-09,,
,Moderate,193,"O<s>3</s>, PM<s>2.5</s>",<s>#</s>2,2017-11-09,,
,Very Poor,302,PM<s>2.5</s>,<s>#</s>1,2017-11-09,,
,Severe,436,PM<s>2.5</s>,1,2017-11-09,,
,Poor,235,PM<s>2.5</s>,1,2017-11-09,,
,Severe,468,PM<s>2.5</s>,3,2017-11-09,,
,Very Poor,345,PM<s>2.5</s>,1,2017-11-09,,
,Severe,414,PM<s>2.5</s>,1,2017-11-09,,
,Moderate,105,PM<s>10</s>,1,2017-11-09,,
,Severe,454,PM<s>2.5</s>,<s>#</s>1,2017-11-09,,
,Moderate,140,PM<s>2.5</s>,<s>#</s>1,2017-11-09,,
,Moderate,199,O<s>3</s>,1,2017-11-09,,
,Satisfactory,94,CO,1,2017-11-09,,
,Severe,487,PM<s>2.5</s>,2,2017-11-09,,
,Moderate,150,PM<s>2.5</s>,1,2017-11-09,,
,Poor,272,PM<s>2.5</s>,<s>#</s>1,2017-11-09,,
,Satisfactory,90,CO,1,2017-11-09,,
,Satisfactory,100,O<s>3</s>,1,2017-11-09,,
,Satisfactory,99,PM<s>10</s>,1,2017-11-09,,
,Moderate,117,PM<s>10</s>,1,2017-11-09,,
,Satisfactory,51,CO,1,2017-11-09,,
,Moderate,102,NO<s>2</s>,1,2017-11-09,,
,Moderate,187,PM<s>2.5</s>,1,2017-11-09,,
,Very Poor,358,PM<s>10</s>,<s>#</s>1,2017-11-09,,
,Satisfactory,96,PM<s>10</s>,1,2017-11-09,,
,Satisfactory,74,PM<s>10</s>,<s>#</s>2,2017-11-09,,
,Severe,404,PM<s>2.5</s>,1,2017-11-10,,
,Moderate,169,PM<s>2.5</s>,1,2017-11-10,,
,Moderate,136,PM<s>10</s>,1,2017-11-10,,
,Very Poor,336,PM<s>2.5</s>,1,2017-11-10,,
,Poor,288,PM<s>2.5</s>,<s>#</s>1,2017-11-10,,
,Moderate,116,PM<s>2.5</s>,1,2017-11-10,,
,Satisfactory,51,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>3,2017-11-10,,
,Severe,463,PM<s>2.5</s>,<s>#</s>1,2017-11-10,,
,Very Poor,320,"PM<s>2.5</s>, NO<s>2</s>",2,2017-11-10,,
,Moderate,110,"PM<s>2.5</s>,",3,2017-11-10,,
,Severe,468,PM<s>2.5</s>,<s>#</s>14,2017-11-10,,
,Moderate,140,PM<s>10</s>,1,2017-11-10,,
,Severe,428,PM<s>2.5</s>,1,2017-11-10,,
,Poor,263,PM<s>2.5</s>,1,2017-11-10,,
,Severe,485,PM<s>2.5</s>,<s>#</s>1,2017-11-10,,
,Severe,480,PM<s>2.5</s>,<s>#</s>1,2017-11-10,,
,Satisfactory,99,PM<s>10</s>,1,2017-11-10,,
,Satisfactory,88,"O<s>3</s>, PM<s>10</s>",<s>#</s>6,2017-11-10,,
,Poor,262,"PM<s>2.5</s>, O<s>3</s>",3,2017-11-10,,
,Severe,461,PM<s>2.5</s>,1,2017-11-10,,
,Poor,284,PM<s>2.5</s>,1,2017-11-10,,
,Severe,462,PM<s>2.5</s>,3,2017-11-10,,
,Very Poor,335,PM<s>2.5</s>,1,2017-11-10,,
,Poor,299,PM<s>2.5</s>,1,2017-11-10,,
,Very Poor,382,PM<s>2.5</s>,1,2017-11-10,,
,Moderate,112,PM<s>10</s>,1,2017-11-10,,
,Severe,409,PM<s>2.5</s>,1,2017-11-10,,
,Moderate,138,PM<s>2.5</s>,<s>#</s>1,2017-11-10,,
,Poor,211,O<s>3</s>,1,2017-11-10,,
,Satisfactory,97,CO,1,2017-11-10,,
,Severe,470,PM<s>2.5</s>,2,2017-11-10,,
,Moderate,151,PM<s>2.5</s>,<s>#</s>1,2017-11-10,,
,Satisfactory,93,CO,1,2017-11-10,,
,Moderate,108,O<s>3</s>,1,2017-11-10,,
,Moderate,121,PM<s>10</s>,1,2017-11-10,,
,Moderate,119,PM<s>10</s>,1,2017-11-10,,
,Satisfactory,73,CO,1,2017-11-10,,
,Satisfactory,93,NO<s>2</s>,1,2017-11-10,,
,Moderate,199,PM<s>2.5</s>,1,2017-11-10,,
,Severe,491,PM<s>2.5</s>,<s>#</s>1,2017-11-10,,
,Satisfactory,95,PM<s>10</s>,<s>#</s>1,2017-11-10,,
,Satisfactory,85,PM<s>10</s>,<s>#</s>2,2017-11-10,,
,Severe,450,PM<s>2.5</s>,1,2017-11-11,,
,Poor,205,PM<s>2.5</s>,1,2017-11-11,,
,Moderate,139,PM<s>10</s>,1,2017-11-11,,
,Very Poor,355,PM<s>2.5</s>,1,2017-11-11,,
,Poor,296,PM<s>2.5</s>,<s>#</s>1,2017-11-11,,
,Moderate,116,O<s>3</s>,<s>#</s>1,2017-11-11,,
,Satisfactory,84,"PM<s>2.5</s>, O<s>3</s>",4,2017-11-11,,
,Severe,435,PM<s>2.5</s>,1,2017-11-11,,
,Very Poor,339,"PM<s>2.5</s>, NO<s>2</s>",2,2017-11-11,,
,Moderate,135,PM<s>2.5</s>,3,2017-11-11,,
,Severe,403,"PM<s>2.5</s>, CO",<s>#</s>15,2017-11-11,,
,Moderate,134,PM<s>10</s>,1,2017-11-11,,
,Very Poor,367,PM<s>2.5</s>,1,2017-11-11,,
,Very Poor,333,PM<s>2.5</s>,1,2017-11-11,,
,Severe,486,PM<s>10</s>,<s>#</s>1,2017-11-11,,
,Severe,436,PM<s>2.5</s>,1,2017-11-11,,
,Moderate,131,"PM<s>2.5</s>, O<s>3</s>",6,2017-11-11,,
,Poor,262,"PM<s>2.5</s>, PM<s>10</s>",3,2017-11-11,,
,Very Poor,324,PM<s>2.5</s>,1,2017-11-11,,
,Severe,405,PM<s>2.5</s>,1,2017-11-11,,
,Poor,279,PM<s>2.5</s>,1,2017-11-11,,
,Severe,424,PM<s>2.5</s>,3,2017-11-11,,
,Very Poor,344,PM<s>2.5</s>,1,2017-11-11,,
,Very Poor,395,PM<s>2.5</s>,1,2017-11-11,,
,Very Poor,399,PM<s>2.5</s>,<s>#</s>1,2017-11-11,,
,Moderate,124,PM<s>10</s>,1,2017-11-11,,
,Very Poor,315,PM<s>2.5</s>,<s>#</s>1,2017-11-11,,
,Moderate,144,PM<s>2.5</s>,<s>#</s>1,2017-11-11,,
,Moderate,199,O<s>3</s>,1,2017-11-11,,
,Moderate,102,CO,<s>#</s>1,2017-11-11,,
,Severe,429,PM<s>2.5</s>,2,2017-11-11,,
,Moderate,166,PM<s>2.5</s>,<s>#</s>1,2017-11-11,,
,Moderate,105,PM<s>10</s>,1,2017-11-11,,
,Moderate,104,O<s>3</s>,1,2017-11-11,,
,Severe,461,PM<s>2.5</s>,1,2017-11-11,,
,Moderate,118,PM<s>10</s>,1,2017-11-11,,
,Moderate,121,PM<s>10</s>,1,2017-11-11,,
,Satisfactory,61,CO,1,2017-11-11,,
,Moderate,112,NO<s>2</s>,1,2017-11-11,,
,Poor,223,PM<s>2.5</s>,<s>#</s>1,2017-11-11,,
,Severe,429,PM<s>2.5</s>,1,2017-11-11,,
,Moderate,112,PM<s>2.5</s>,<s>#</s>1,2017-11-11,,
,Moderate,117,"O<s>3</s>, PM<s>2.5</s>",<s>#</s>2,2017-11-11,,
,Severe,410,PM<s>2.5</s>,1,2017-11-12,,
,Moderate,185,PM<s>2.5</s>,1,2017-11-12,,
,Moderate,139,PM<s>10</s>,1,2017-11-12,,
,Very Poor,326,PM<s>2.5</s>,1,2017-11-12,,
,Very Poor,331,PM<s>2.5</s>,<s>#</s>1,2017-11-12,,
,Moderate,155,O<s>3</s>,1,2017-11-12,,
,Satisfactory,69,"PM<s>2.5</s>, NO<s>2</s>",4,2017-11-12,,
,Severe,447,PM<s>2.5</s>,1,2017-11-12,,
,Very Poor,327,"PM<s>2.5</s>, NO<s>2</s>",2,2017-11-12,,
,Moderate,167,PM<s>2.5</s>,3,2017-11-12,,
,Severe,460,"PM<s>2.5</s>, CO",<s>#</s>15,2017-11-12,,
,Moderate,147,PM<s>10</s>,1,2017-11-12,,
,Severe,468,PM<s>2.5</s>,1,2017-11-12,,
,Moderate,198,PM<s>2.5</s>,<s>#</s>1,2017-11-12,,
,Severe,498,PM<s>2.5</s>,<s>#</s>1,2017-11-12,,
,Severe,460,PM<s>2.5</s>,1,2017-11-12,,
,Satisfactory,85,PM<s>10</s>,1,2017-11-12,,
,Moderate,121,"PM<s>2.5</s>, O<s>3</s>",6,2017-11-12,,
,Poor,256,"PM<s>2.5</s>, PM<s>10</s>",<s>#</s>3,2017-11-12,,
,Very Poor,309,PM<s>2.5</s>,1,2017-11-12,,
,Very Poor,366,PM<s>2.5</s>,1,2017-11-12,,
,Very Poor,301,PM<s>2.5</s>,<s>#</s>1,2017-11-12,,
,Very Poor,374,PM<s>2.5</s>,3,2017-11-12,,
,Very Poor,332,PM<s>2.5</s>,<s>#</s>1,2017-11-12,,
,Very Poor,351,PM<s>2.5</s>,<s>#</s>1,2017-11-12,,
,Severe,440,PM<s>2.5</s>,<s>#</s>1,2017-11-12,,
,Moderate,115,PM<s>10</s>,1,2017-11-12,,
,Very Poor,307,PM<s>2.5</s>,1,2017-11-12,,
,Poor,206,PM<s>2.5</s>,<s>#</s>1,2017-11-12,,
,Poor,222,O<s>3</s>,1,2017-11-12,,
,Moderate,110,CO,1,2017-11-12,,
,Severe,492,PM<s>2.5</s>,2,2017-11-12,,
,Poor,202,PM<s>2.5</s>,<s>#</s>1,2017-11-12,,
,Very Poor,383,PM<s>2.5</s>,1,2017-11-12,,
,Satisfactory,96,PM<s>10</s>,1,2017-11-12,,
,Moderate,163,O<s>3</s>,1,2017-11-12,,
,Severe,471,PM<s>2.5</s>,1,2017-11-12,,
,Moderate,120,PM<s>10</s>,1,2017-11-12,,
,Moderate,136,PM<s>10</s>,1,2017-11-12,,
,Satisfactory,58,CO,1,2017-11-12,,
,Moderate,133,NO<s>2</s>,1,2017-11-12,,
,Poor,231,PM<s>2.5</s>,1,2017-11-12,,
,Very Poor,344,PM<s>2.5</s>,1,2017-11-12,,
,Moderate,113,"O<s>3</s>, PM<s>2.5</s>",2,2017-11-12,,
,Very Poor,385,PM<s>2.5</s>,1,2017-11-13,,
,Poor,261,PM<s>2.5</s>,1,2017-11-13,,
,Moderate,149,PM<s>10</s>,1,2017-11-13,,
,Very Poor,306,PM<s>2.5</s>,1,2017-11-13,,
,Poor,273,PM<s>2.5</s>,<s>#</s>1,2017-11-13,,
,Moderate,124,O<s>3</s>,1,2017-11-13,,
