,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Faridabad,Poor,235,PM<s>2.5 </s>,1,,2015-06-16
,Hyderabad,Satisfactory,51,PM<s>2.5</s>,1,,2015-06-16
,Kanpur,Moderate,135,PM<s>2.5</s>,1,,2015-06-16
,Lucknow,Very Poor,323,PM<s>2.5</s>,2,,2015-06-16
,Navi Mumbai,Satisfactory,58,CO,1,,2015-06-16
,Varanasi,Moderate,119,PM<s>10</s>,1,,2015-06-16
,,,,,,,2015-06-16
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-17
,Agra,Moderate,145,PM<s>2.5</s>,1,,2015-06-17
,Ahmedabad,Satisfactory,51,PM<s>2.5</s>,1,,2015-06-17
,Bengaluru,Satisfactory,52,"CO, PM<s>2.5</s>",3,,2015-06-17
,Chennai,Moderate,108,"PM<s>2.5, </s>CO",3,,2015-06-17
,Delhi,Poor,281,"O<s>3, </s>PM<s>2.5,</s> PM<s>10</s>",7,,2015-06-17
,Faridabad,Moderate,149,PM<s>2.5 </s>,1,,2015-06-17
,Hyderabad,Good,46,PM<s>2.5</s>,1,,2015-06-17
,Kanpur,Moderate,114,PM<s>2.5</s>,1,,2015-06-17
,Lucknow,Moderate,108,"PM<s>2.5,</s> CO",2,,2015-06-17
,Navi Mumbai,Satisfactory,65,CO,1,,2015-06-17
,Varanasi,Moderate,121,PM<s>10</s>,1,,2015-06-17
,,,,,,,2015-06-17
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-18
,Agra,Moderate,120,PM<s>2.5</s>,1,,2015-06-18
,Ahmedabad,Satisfactory,58,PM<s>2.5</s>,1,,2015-06-18
,Bengaluru,Good,28,PM<s>2.5</s>,1,,2015-06-18
,Chennai,Moderate,108,"PM<s>2.5, </s>CO",3,,2015-06-18
,Delhi,Poor,286,"O<s>3, </s>PM<s>2.5,</s> PM<s>10</s>",6,,2015-06-18
,Faridabad,Poor,235,PM<s>2.5 </s>,1,,2015-06-18
,Hyderabad,Good,41,PM<s>2.5</s>,1,,2015-06-18
,Kanpur,Satisfactory,90,PM<s>2.5</s>,1,,2015-06-18
,Lucknow,Satisfactory,83,"PM<s>2.5,</s> CO",2,,2015-06-18
,Navi Mumbai,Satisfactory,64,CO,1,,2015-06-18
,Varanasi,Moderate,116,PM<s>10</s>,1,,2015-06-18
,,,,,,,2015-06-18
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-19
,Agra,Moderate,112,PM<s>2.5</s>,1,,2015-06-19
,Ahmedabad,Satisfactory,53,PM<s>2.5</s>,1,,2015-06-19
,Bengaluru,Satisfactory,51,"PM<s>2.5, </s>CO",2,,2015-06-19
,Chennai,Moderate,164,"PM<s>2.5, </s>CO",3,,2015-06-19
,Delhi,Poor,262,"O<s>3, </s>PM<s>2.5,</s> PM<s>10</s>",6,,2015-06-19
,Faridabad,Moderate,198,PM<s>2.5 </s>,1,,2015-06-19
,Hyderabad,Good,44,PM<s>2.5</s>,1,,2015-06-19
,Kanpur,Moderate,161,PM<s>2.5</s>,1,,2015-06-19
,Lucknow,Satisfactory,76,"PM<s>2.5,</s> CO",3,,2015-06-19
,Navi Mumbai,Satisfactory,67,CO,1,,2015-06-19
,Varanasi,Moderate,129,PM<s>10</s>,1,,2015-06-19
,,,,,,,2015-06-19
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-20
,Agra,Poor,259,PM<s>2.5</s>,1,,2015-06-20
,Ahmedabad,Satisfactory,55,PM<s>2.5</s>,1,,2015-06-20
,Bengaluru,Good,44,"PM<s>2.5,</s> CO",2,,2015-06-20
,Chennai,Moderate,107,"PM<s>2.5, </s>CO",3,,2015-06-20
,Delhi,Moderate,159,O<s>3</s>,1,,2015-06-20
,Faridabad,Satisfactory,79,PM<s>2.5 </s>,1,,2015-06-20
,Hyderabad,Good,49,PM<s>2.5</s>,1,,2015-06-20
,Kanpur,Satisfactory,73,PM<s>2.5</s>,1,,2015-06-20
,Lucknow,Moderate,171,PM<s>2.5</s>,2,,2015-06-20
,Navi Mumbai,Satisfactory,70,CO,1,,2015-06-20
,Varanasi,Moderate,103,PM<s>10</s>,1,,2015-06-20
,,,,,,,2015-06-20
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-21
,Agra,Good,47,PM<s>2.5</s>,1,,2015-06-21
,Ahmedabad,Good,36,PM<s>2.5</s>,1,,2015-06-21
,Bengaluru,Moderate,105,"SO<s>2,</s> CO",2+,,2015-06-21
,Chennai,Satisfactory,100,"PM<s>2.5, </s>CO",3,,2015-06-21
,Delhi,Satisfactory,88,PM<s>2.5</s>,2,,2015-06-21
